iter	Passed	Remaining
0	15	15351
1	34	17347
2	57	18957
3	80	20143
4	98	19660
5	119	19796
6	137	19528
7	154	19188
8	173	19087
9	190	18835
10	207	18650
11	231	19021
12	253	19227
13	273	19268
14	294	19344
15	318	19588
16	348	20134
17	367	20022
18	389	20122
19	413	20250
20	442	20641
21	469	20858
22	499	21198
23	518	21074
24	544	21228
25	564	21138
26	584	21074
27	607	21076
28	627	20993
29	657	21259
30	680	21275
31	704	21296
32	722	21171
33	742	21108
34	761	21008
35	788	21126
36	808	21048
37	831	21039
38	849	20939
39	886	21287
40	911	21317
41	931	21242
42	952	21195
43	971	21100
44	995	21122
45	1028	21324
46	1047	21235
47	1067	21166
48	1086	21095
49	1106	21018
50	1131	21058
51	1150	20968
52	1169	20899
53	1188	20814
54	1206	20730
55	1224	20634
56	1242	20556
57	1264	20529
58	1283	20477
59	1301	20397
60	1324	20395
61	1346	20365
62	1372	20420
63	1398	20447
64	1416	20377
65	1435	20315
66	1455	20263
67	1483	20336
68	1503	20280
69	1520	20201
70	1547	20244
71	1565	20180
72	1584	20122
73	1612	20177
74	1637	20199
75	1657	20152
76	1680	20146
77	1697	20064
78	1713	19970
79	1727	19862
80	1743	19776
81	1760	19704
82	1777	19635
83	1792	19550
84	1808	19471
85	1827	19418
86	1843	19343
87	1859	19269
88	1877	19219
89	1910	19320
90	1928	19264
91	1946	19210
92	1962	19143
93	1979	19082
94	1996	19016
95	2010	18935
96	2026	18862
97	2045	18823
98	2061	18762
99	2075	18683
100	2097	18671
101	2115	18626
102	2130	18557
103	2147	18504
104	2162	18434
105	2180	18388
106	2199	18358
107	2216	18308
108	2231	18242
109	2246	18174
110	2263	18128
111	2277	18061
112	2295	18015
113	2311	17966
114	2325	17898
115	2346	17880
116	2361	17822
117	2378	17775
118	2396	17741
119	2409	17671
120	2425	17616
121	2443	17586
122	2460	17542
123	2480	17522
124	2493	17457
125	2509	17405
126	2524	17356
127	2539	17298
128	2554	17245
129	2570	17203
130	2584	17141
131	2601	17105
132	2618	17070
133	2631	17008
134	2647	16962
135	2663	16924
136	2676	16863
137	2692	16820
138	2708	16777
139	2722	16725
140	2739	16691
141	2754	16642
142	2770	16605
143	2786	16564
144	2801	16516
145	2816	16473
146	2832	16438
147	2848	16395
148	2864	16357
149	2877	16305
150	2903	16324
151	2935	16377
152	2952	16347
153	2969	16313
154	2986	16278
155	3003	16248
156	3020	16216
157	3034	16170
158	3050	16136
159	3066	16101
160	3084	16076
161	3101	16042
162	3118	16015
163	3135	15982
164	3151	15950
165	3166	15907
166	3183	15877
167	3199	15845
168	3215	15810
169	3232	15781
170	3247	15745
171	3263	15712
172	3282	15691
173	3298	15656
174	3316	15634
175	3333	15606
176	3351	15584
177	3368	15554
178	3386	15533
179	3402	15501
180	3420	15475
181	3436	15445
182	3453	15418
183	3470	15392
184	3487	15365
185	3511	15367
186	3527	15337
187	3541	15294
188	3558	15269
189	3571	15223
190	3585	15187
191	3600	15152
192	3615	15118
193	3630	15085
194	3647	15056
195	3663	15027
196	3678	14994
197	3694	14965
198	3709	14931
199	3727	14909
200	3741	14873
201	3758	14847
202	3776	14827
203	3791	14795
204	3808	14768
205	3821	14730
206	3839	14708
207	3856	14685
208	3873	14660
209	3888	14627
210	3903	14596
211	3918	14564
212	3938	14553
213	3970	14582
214	3990	14570
215	4005	14538
216	4025	14525
217	4040	14492
218	4057	14469
219	4071	14436
220	4087	14408
221	4104	14384
222	4124	14369
223	4144	14357
224	4158	14324
225	4176	14303
226	4193	14281
227	4210	14256
228	4226	14228
229	4239	14193
230	4257	14174
231	4275	14153
232	4301	14160
233	4317	14133
234	4332	14102
235	4348	14077
236	4367	14059
237	4382	14031
238	4399	14007
239	4413	13977
240	4428	13945
241	4445	13924
242	4461	13900
243	4480	13883
244	4496	13857
245	4512	13830
246	4526	13798
247	4540	13769
248	4554	13738
249	4569	13709
250	4584	13681
251	4602	13660
252	4618	13635
253	4632	13604
254	4649	13584
255	4664	13554
256	4678	13526
257	4692	13496
258	4703	13456
259	4713	13415
260	4726	13382
261	4738	13347
262	4752	13317
263	4764	13284
264	4777	13251
265	4788	13213
266	4800	13178
267	4812	13144
268	4823	13106
269	4836	13075
270	4852	13052
271	4869	13032
272	4886	13012
273	4904	12994
274	4926	12987
275	4938	12954
276	4949	12918
277	4966	12897
278	4996	12910
279	5011	12886
280	5025	12859
281	5043	12840
282	5059	12818
283	5077	12800
284	5093	12779
285	5109	12755
286	5127	12739
287	5144	12718
288	5160	12695
289	5175	12671
290	5191	12649
291	5209	12630
292	5231	12623
293	5249	12605
294	5269	12592
295	5283	12566
296	5300	12545
297	5316	12523
298	5332	12500
299	5348	12479
300	5366	12462
301	5388	12454
302	5405	12434
303	5422	12414
304	5439	12394
305	5458	12380
306	5474	12357
307	5488	12330
308	5504	12309
309	5520	12287
310	5535	12263
311	5552	12244
312	5569	12224
313	5590	12214
314	5604	12188
315	5619	12162
316	5634	12139
317	5651	12119
318	5664	12092
319	5680	12071
320	5694	12045
321	5708	12020
322	5725	12000
323	5741	11979
324	5757	11957
325	5774	11938
326	5787	11910
327	5802	11888
328	5820	11870
329	5834	11845
330	5849	11823
331	5866	11803
332	5882	11782
333	5897	11759
334	5913	11739
335	5929	11717
336	5943	11693
337	5961	11675
338	5971	11644
339	5988	11623
340	6002	11599
341	6111	11758
342	6126	11734
343	6152	11733
344	6167	11708
345	6184	11690
346	6200	11668
347	6222	11657
348	6238	11636
349	6254	11615
350	6271	11595
351	6286	11572
352	6303	11552
353	6320	11533
354	6336	11512
355	6352	11491
356	6368	11470
357	6388	11455
358	6404	11435
359	6419	11413
360	6435	11390
361	6449	11367
362	6464	11344
363	6476	11316
364	6491	11292
365	6504	11267
366	6520	11245
367	6534	11223
368	6551	11203
369	6566	11181
370	6579	11154
371	6596	11135
372	6612	11116
373	6626	11091
374	6640	11066
375	6654	11043
376	6670	11023
377	6685	11001
378	6701	10980
379	6717	10959
380	6728	10931
381	6742	10907
382	6762	10893
383	6777	10872
384	6793	10852
385	6807	10828
386	6822	10806
387	6833	10779
388	6845	10751
389	6861	10732
390	6874	10707
391	6886	10681
392	6899	10657
393	6916	10637
394	6931	10616
395	6947	10596
396	6962	10574
397	6975	10550
398	6992	10532
399	7005	10507
400	7020	10486
401	7040	10472
402	7054	10450
403	7071	10432
404	7087	10413
405	7102	10391
406	7121	10376
407	7154	10380
408	7174	10366
409	7187	10342
410	7203	10323
411	7222	10307
412	7238	10288
413	7254	10268
414	7271	10250
415	7286	10229
416	7298	10204
417	7313	10183
418	7332	10167
419	7346	10145
420	7362	10126
421	7381	10109
422	7401	10096
423	7417	10076
424	7438	10064
425	7454	10044
426	7471	10026
427	7486	10005
428	7503	9987
429	7518	9967
430	7531	9942
431	7548	9925
432	7564	9905
433	7581	9887
434	7606	9879
435	7619	9856
436	7630	9830
437	7643	9807
438	7655	9783
439	7667	9758
440	7680	9736
441	7696	9715
442	7708	9691
443	7720	9668
444	7734	9646
445	7746	9621
446	7759	9600
447	7775	9580
448	7788	9557
449	7801	9534
450	7816	9514
451	7830	9493
452	7844	9472
453	7858	9450
454	7876	9434
455	7888	9411
456	7905	9393
457	7917	9369
458	7928	9345
459	7942	9323
460	7955	9301
461	7972	9284
462	7986	9262
463	8003	9245
464	8019	9226
465	8034	9206
466	8046	9184
467	8071	9175
468	8083	9152
469	8096	9129
470	8110	9109
471	8123	9087
472	8138	9068
473	8164	9060
474	8196	9059
475	8214	9043
476	8229	9023
477	8242	9001
478	8256	8980
479	8268	8957
480	8282	8937
481	8295	8914
482	8310	8895
483	8323	8874
484	8336	8851
485	8351	8832
486	8363	8809
487	8379	8792
488	8394	8772
489	8406	8749
490	8422	8730
491	8435	8709
492	8450	8690
493	8464	8670
494	8476	8647
495	8487	8624
496	8501	8603
497	8513	8582
498	8524	8558
499	8536	8536
500	8552	8517
501	8565	8496
502	8578	8476
503	8595	8458
504	8607	8436
505	8618	8413
506	8631	8393
507	8646	8374
508	8657	8351
509	8672	8332
510	8688	8314
511	8705	8297
512	8723	8281
513	8739	8263
514	8751	8241
515	8767	8224
516	8779	8202
517	8798	8187
518	8814	8168
519	8826	8147
520	8839	8126
521	8858	8112
522	8872	8092
523	8888	8074
524	8903	8055
525	8915	8034
526	8928	8013
527	8941	7992
528	8955	7973
529	8972	7957
530	8986	7936
531	8999	7916
532	9013	7897
533	9026	7877
534	9046	7862
535	9059	7842
536	9073	7822
537	9092	7808
538	9106	7788
539	9118	7767
540	9131	7747
541	9146	7729
542	9160	7709
543	9173	7689
544	9187	7670
545	9224	7670
546	9237	7649
547	9253	7632
548	9268	7614
549	9281	7593
550	9294	7573
551	9308	7554
552	9322	7535
553	9336	7516
554	9349	7496
555	9362	7476
556	9375	7456
557	9388	7436
558	9402	7418
559	9417	7399
560	9436	7384
561	9454	7368
562	9476	7355
563	9489	7335
564	9504	7317
565	9519	7299
566	9532	7279
567	9548	7262
568	9563	7243
569	9576	7224
570	9592	7206
571	9608	7189
572	9622	7170
573	9639	7153
574	9655	7136
575	9668	7117
576	9683	7098
577	9695	7079
578	9709	7059
579	9723	7041
580	9744	7027
581	9758	7008
582	9774	6991
583	9788	6972
584	9805	6956
585	9825	6941
586	9853	6932
587	9867	6913
588	9880	6894
589	9893	6874
590	9907	6856
591	9921	6837
592	9935	6819
593	9948	6799
594	9962	6781
595	9975	6761
596	9988	6742
597	10001	6723
598	10013	6703
599	10025	6683
600	10038	6664
601	10051	6645
602	10065	6626
603	10077	6607
604	10095	6591
605	10110	6573
606	10123	6554
607	10136	6535
608	10154	6519
609	10170	6502
610	10184	6483
611	10198	6465
612	10214	6448
613	10234	6433
614	10268	6428
615	10283	6410
616	10298	6392
617	10313	6374
618	10328	6357
619	10348	6342
620	10363	6324
621	10378	6307
622	10394	6289
623	10414	6275
624	10429	6257
625	10445	6240
626	10461	6223
627	10476	6205
628	10490	6187
629	10511	6173
630	10526	6155
631	10540	6137
632	10554	6119
633	10567	6100
634	10582	6083
635	10597	6065
636	10609	6045
637	10621	6026
638	10634	6007
639	10648	5989
640	10661	5971
641	10675	5952
642	10688	5934
643	10701	5915
644	10715	5897
645	10728	5879
646	10739	5859
647	10753	5841
648	10767	5823
649	10778	5803
650	10790	5784
651	10803	5766
652	10817	5748
653	10829	5729
654	10843	5711
655	10854	5692
656	10866	5673
657	10878	5653
658	10891	5635
659	10904	5617
660	10917	5598
661	10933	5582
662	10951	5566
663	10962	5547
664	10975	5529
665	10987	5510
666	10999	5491
667	11015	5474
668	11031	5457
669	11046	5440
670	11057	5421
671	11071	5403
672	11084	5385
673	11098	5367
674	11111	5349
675	11126	5332
676	11140	5315
677	11154	5297
678	11167	5279
679	11186	5264
680	11198	5245
681	11212	5228
682	11233	5213
683	11250	5197
684	11262	5178
685	11281	5163
686	11388	5188
687	11401	5170
688	11414	5152
689	11428	5134
690	11442	5116
691	11455	5098
692	11468	5080
693	11482	5062
694	11494	5044
695	11509	5026
696	11520	5008
697	11533	4990
698	11550	4973
699	11562	4955
700	11575	4937
701	11590	4920
702	11604	4902
703	11622	4886
704	11638	4869
705	11649	4851
706	11664	4834
707	11679	4816
708	11691	4798
709	11702	4779
710	11716	4762
711	11731	4745
712	11744	4727
713	11757	4709
714	11771	4691
715	11783	4673
716	11796	4656
717	11809	4638
718	11822	4620
719	11836	4603
720	11850	4585
721	11864	4568
722	11878	4551
723	11894	4534
724	11905	4515
725	11919	4498
726	11931	4480
727	11943	4462
728	11957	4445
729	11979	4430
730	11991	4412
731	12004	4395
732	12024	4380
733	12038	4362
734	12052	4345
735	12064	4327
736	12077	4309
737	12091	4292
738	12105	4275
739	12118	4257
740	12132	4240
741	12149	4224
742	12164	4207
743	12178	4190
744	12191	4172
745	12204	4155
746	12218	4138
747	12235	4122
748	12247	4104
749	12262	4087
750	12275	4070
751	12289	4052
752	12304	4036
753	12318	4019
754	12332	4001
755	12345	3984
756	12359	3967
757	12381	3952
758	12413	3941
759	12428	3924
760	12443	3907
761	12456	3890
762	12469	3873
763	12483	3856
764	12497	3838
765	12509	3821
766	12521	3803
767	12535	3786
768	12547	3769
769	12559	3751
770	12571	3733
771	12585	3716
772	12599	3699
773	12613	3682
774	12627	3666
775	12640	3648
776	12652	3631
777	12665	3614
778	12677	3596
779	12689	3579
780	12703	3562
781	12715	3544
782	12728	3527
783	12740	3510
784	12754	3493
785	12765	3475
786	12777	3458
787	12791	3441
788	12803	3423
789	12817	3407
790	12831	3390
791	12843	3373
792	12856	3356
793	12870	3339
794	12881	3321
795	12894	3304
796	12918	3290
797	12930	3273
798	12943	3256
799	12966	3241
800	12977	3224
801	12990	3207
802	13003	3190
803	13016	3173
804	13031	3156
805	13048	3140
806	13063	3124
807	13076	3107
808	13090	3090
809	13102	3073
810	13117	3056
811	13131	3040
812	13145	3023
813	13158	3006
814	13172	2990
815	13187	2973
816	13201	2957
817	13217	2940
818	13229	2923
819	13243	2907
820	13257	2890
821	13273	2874
822	13288	2857
823	13301	2841
824	13315	2824
825	13328	2807
826	13342	2791
827	13356	2774
828	13371	2758
829	13383	2741
830	13397	2724
831	13414	2708
832	13451	2696
833	13463	2679
834	13475	2662
835	13489	2646
836	13502	2629
837	13513	2612
838	13527	2595
839	13539	2578
840	13552	2562
841	13564	2545
842	13577	2528
843	13592	2512
844	13604	2495
845	13620	2479
846	13633	2462
847	13644	2445
848	13655	2428
849	13667	2411
850	13681	2395
851	13694	2378
852	13711	2362
853	13725	2346
854	13740	2330
855	13752	2313
856	13765	2296
857	13778	2280
858	13789	2263
859	13801	2246
860	13821	2231
861	13838	2215
862	13852	2199
863	13865	2182
864	13877	2165
865	13891	2149
866	13904	2132
867	13916	2116
868	13928	2099
869	13942	2083
870	13962	2067
871	13976	2051
872	13990	2035
873	14002	2018
874	14019	2002
875	14036	1986
876	14050	1970
877	14062	1954
878	14077	1937
879	14091	1921
880	14104	1905
881	14117	1888
882	14133	1872
883	14153	1857
884	14165	1840
885	14179	1824
886	14194	1808
887	14209	1792
888	14223	1775
889	14237	1759
890	14255	1743
891	14272	1728
892	14286	1711
893	14299	1695
894	14314	1679
895	14328	1663
896	14342	1646
897	14355	1630
898	14367	1614
899	14380	1597
900	14392	1581
901	14408	1565
902	14421	1549
903	14437	1533
904	14475	1519
905	14489	1503
906	14503	1487
907	14514	1470
908	14526	1454
909	14540	1438
910	14552	1421
911	14565	1405
912	14579	1389
913	14591	1372
914	14603	1356
915	14614	1340
916	14626	1323
917	14640	1307
918	14651	1291
919	14665	1275
920	14680	1259
921	14692	1242
922	14705	1226
923	14719	1210
924	14733	1194
925	14743	1178
926	14756	1162
927	14769	1145
928	14782	1129
929	14796	1113
930	14809	1097
931	14823	1081
932	14836	1065
933	14852	1049
934	14865	1033
935	14879	1017
936	14891	1001
937	14902	985
938	14913	968
939	14926	952
940	14939	936
941	14955	920
942	14968	904
943	14981	888
944	14992	872
945	15006	856
946	15020	840
947	15032	824
948	15045	808
949	15058	792
950	15071	776
951	15084	760
952	15098	744
953	15110	728
954	15123	712
955	15137	696
956	15151	680
957	15166	664
958	15179	648
959	15191	632
960	15205	617
961	15220	601
962	15235	585
963	15249	569
964	15264	553
965	15277	537
966	15292	521
967	15310	506
968	15323	490
969	15335	474
970	15347	458
971	15359	442
972	15373	426
973	15385	410
974	15402	394
975	15417	379
976	15431	363
977	15447	347
978	15459	331
979	15469	315
980	15481	299
981	15519	284
982	15531	268
983	15542	252
984	15554	236
985	15567	221
986	15580	205
987	15592	189
988	15602	173
989	15614	157
990	15629	141
991	15641	126
992	15654	110
993	15670	94
994	15684	78
995	15695	63
996	15716	47
997	15728	31
998	15739	15
999	15753	0
